,Run1_1pM Pb_D1,Run2_1pM Pb_D1,Run3_1pM Pb_D1,Run4_1pM Pb_D1,Run5_1pM Pb_D1,Run6_1pM Pb_D1,Run7_1pM Pb_D1,CQD1_1pM Pb_D1,CQD2_1pM Pb_D1,CQD3_1pM Pb_D1,CQD4_1pM Pb_D1,CQD5_1pM Pb_D1,CQD6_1pM Pb_D1,CQD7_1pM Pb_D1,Run1_5pM Pb_D1,Run2_5pM Pb_D1,Run3_5pM Pb_D1,Run4_5pM Pb_D1,Run5_5pM Pb_D1,Run6_5pM Pb_D1,Run7_5pM Pb_D1,CQD1_5pM Pb_D1,CQD2_5pM Pb_D1,CQD3_5pM Pb_D1,CQD4_5pM Pb_D1,CQD5_5pM Pb_D1,CQD6_5pM Pb_D1,CQD7_5pM Pb_D1,Run1_1pM Pb_D2,Run2_1pM Pb_D2,Run3_1pM Pb_D2,Run4_1pM Pb_D2,Run5_1pM Pb_D2,Run6_1pM Pb_D2,Run7_1pM Pb_D2,CQD1_1pM Pb_D2,CQD2_1pM Pb_D2,CQD3_1pM Pb_D2,CQD4_1pM Pb_D2,CQD5_1pM Pb_D2,CQD6_1pM Pb_D2,CQD7_1pM Pb_D2,Run1_5pM Pb_D2,Run2_5pM Pb_D2,Run3_5pM Pb_D2,Run4_5pM Pb_D2,Run5_5pM Pb_D2,Run6_5pM Pb_D2,Run7_5pM Pb_D2,CQD1_5pM Pb_D2,CQD2_5pM Pb_D2,CQD3_5pM Pb_D2,CQD4_5pM Pb_D2,CQD5_5pM Pb_D2,CQD6_5pM Pb_D2,CQD7_5pM Pb_D2,Run1_1pM Pb_D3,Run2_1pM Pb_D3,Run3_1pM Pb_D3,Run4_1pM Pb_D3,Run5_1pM Pb_D3,Run6_1pM Pb_D3,Run7_1pM Pb_D3,CQD1_1pM Pb_D3,CQD2_1pM Pb_D3,CQD3_1pM Pb_D3,CQD4_1pM Pb_D3,CQD5_1pM Pb_D3,CQD6_1pM Pb_D3,CQD7_1pM Pb_D3,Run1_5pM Pb_D3,Run2_5pM Pb_D3,Run3_5pM Pb_D3,Run4_5pM Pb_D3,Run5_5pM Pb_D3,Run6_5pM Pb_D3,Run7_5pM Pb_D3,CQD1_5pM Pb_D3,CQD2_5pM Pb_D3,CQD3_5pM Pb_D3,CQD4_5pM Pb_D3,CQD5_5pM Pb_D3,CQD6_5pM Pb_D3,CQD7_5pM Pb_D3,Run1_1pM Pb_D4,Run2_1pM Pb_D4,Run3_1pM Pb_D4,Run4_1pM Pb_D4,Run5_1pM Pb_D4,Run6_1pM Pb_D4,Run7_1pM Pb_D4,CQD1_1pM Pb_D4,CQD2_1pM Pb_D4,CQD3_1pM Pb_D4,CQD4_1pM Pb_D4,CQD5_1pM Pb_D4,CQD6_1pM Pb_D4,CQD7_1pM Pb_D4,Run1_5pM Pb_D4,Run2_5pM Pb_D4,Run3_5pM Pb_D4,Run4_5pM Pb_D4,Run5_5pM Pb_D4,Run6_5pM Pb_D4,Run7_5pM Pb_D4,CQD1_5pM Pb_D4,CQD2_5pM Pb_D4,CQD3_5pM Pb_D4,CQD4_5pM Pb_D4,CQD5_5pM Pb_D4,CQD6_5pM Pb_D4,CQD7_5pM Pb_D4,Run1_1pM Pb_D5,Run2_1pM Pb_D5,Run3_1pM Pb_D5,Run4_1pM Pb_D5,Run5_1pM Pb_D5,Run6_1pM Pb_D5,Run7_1pM Pb_D5,CQD1_1pM Pb_D5,CQD2_1pM Pb_D5,CQD3_1pM Pb_D5,CQD4_1pM Pb_D5,CQD5_1pM Pb_D5,CQD6_1pM Pb_D5,CQD7_1pM Pb_D5,Run1_5pM Pb_D5,Run2_5pM Pb_D5,Run3_5pM Pb_D5,Run4_5pM Pb_D5,Run5_5pM Pb_D5,Run6_5pM Pb_D5,Run7_5pM Pb_D5,CQD1_5pM Pb_D5,CQD2_5pM Pb_D5,CQD3_5pM Pb_D5,CQD4_5pM Pb_D5,CQD5_5pM Pb_D5,CQD6_5pM Pb_D5,CQD7_5pM Pb_D5
85,827.3704224,832.2677002,828.9528809,832.0560913,831.7196655,830.3667603,831.2406616,940.6395264,941.9138794,938.9709473,937.446228,938.8963623,942.1936646,937.2214966,858.763855,855.3011475,855.7051392,856.2874146,855.3063354,851.6837158,856.9827271,946.2993164,950.0031738,947.8597412,949.866394,945.2529907,953.84021,949.8859253,860.3297729,856.9929199,861.3501587,857.2597046,854.8392334,854.9213257,858.5871582,942.3274536,943.0805054,939.593689,939.593689,939.8805542,938.2800903,942.5700684,866.1824341,860.0106201,862.8694458,862.1003418,866.6075439,864.1849976,859.4227905,938.0914917,941.7340088,941.9014893,937.1931152,939.8255005,939.7360229,940.1682129,858.9841919,859.9257813,860.3806763,860.4732056,858.4464111,858.0959473,856.6964111,935.3457031,938.9744263,934.4269409,936.1864624,939.9604492,938.3039551,937.1062012,872.8305664,872.1358032,869.447937,869.6047363,871.7384033,867.4777222,868.2374878,949.9071045,954.8599854,958.2467041,956.4998779,954.9108887,952.0795288,957.2243042,854.4157104,853.5705566,853.3555298,853.6802368,853.2876587,850.9047852,854.5629883,935.37323,938.1486206,939.3074951,936.729248,938.0566406,933.2887573,935.7210083,849.3273926,855.8949585,852.385498,854.2937012,855.2092896,849.8517456,854.2704468,929.7913208,936.0365601,931.562561,937.4726563,934.6682129,933.8928223,939.9675903,841.0345459,841.0639648,841.8027954,844.0175171,840.4111328,844.1964111,842.4304199,945.9368286,942.3624268,940.6001587,940.1693115,945.9949951,946.3892822,942.7600098,841.0345459,841.0639648,841.8027954,844.0175171,840.4111328,844.1964111,842.4304199,945.9368286,942.3624268,940.6001587,940.1693115,945.9949951,946.3892822,942.7600098
81,824.1721191,827.2579956,827.3188477,827.5941772,831.9822388,833.1369629,828.1618652,937.0579224,938.8239136,941.9522095,936.6348267,936.7236938,938.5804443,938.5189209,858.4188232,856.8662109,851.4242554,861.2642822,853.9672852,849.9373779,857.1383667,947.9161377,946.9066162,952.4309082,947.6765747,949.6398315,949.392334,950.793457,858.211731,858.8282471,858.220459,857.2851563,856.3363037,855.5427856,858.0106812,942.2167358,940.0065308,936.338501,936.338501,936.7556152,939.9342041,937.6804199,858.2837524,860.5411987,860.8129883,858.5736084,860.3046265,867.4424438,865.2879028,941.0623779,940.3042603,940.0636597,931.2741089,936.921936,936.2452393,934.4145508,855.1918945,858.3243408,857.0316772,855.1946411,852.4885254,857.7962036,859.9788208,938.9282837,936.3312378,938.2162476,940.0805664,934.5738525,941.2203979,934.1878662,870.2608643,870.3113403,866.1971436,868.6973877,869.5527954,867.9015503,868.9580688,949.1920166,954.3560181,950.7307129,952.2426758,957.7207031,956.1293945,949.7359619,852.5996094,855.4101563,852.2315674,850.295105,854.6186523,852.3101196,850.2622681,936.2062378,934.5872192,929.1325073,935.0510864,931.0163574,933.2536621,931.4985352,854.5526733,851.7177124,851.3189087,850.5396729,851.4307251,851.682251,851.4936523,931.3307495,933.5708008,936.5557251,934.828064,933.5477905,932.8549805,935.2963867,840.3789673,838.3936768,837.7306519,840.9478149,839.4606934,840.5175781,838.0881958,940.6903687,940.088562,936.2883301,939.9364014,936.6605225,938.7553711,937.0318604,840.3789673,838.3936768,837.7306519,840.9478149,839.4606934,840.5175781,838.0881958,940.6903687,940.088562,936.2883301,939.9364014,936.6605225,938.7553711,937.0318604
86,827.6240234,829.0757446,831.5002441,831.6286011,830.5808716,830.6594849,832.9589844,937.1043701,938.4454956,937.2828979,938.4905396,939.8461914,939.6342773,938.4309082,854.5873413,856.9293213,851.4932861,860.1864014,857.3584595,855.0074463,855.9868164,941.984436,947.8814697,947.7332764,949.7139893,948.4152222,950.0837402,948.9694824,855.6479492,856.4159546,863.1897583,855.7039185,852.7843628,857.4580688,860.2244263,940.9116211,942.4487305,937.3778076,937.3778076,940.607666,939.0513306,940.9696655,860.8344727,861.546936,860.2240601,857.7337036,860.7940674,861.440918,859.7679443,935.5357056,936.6021729,940.6889648,931.9192505,942.8739014,936.7249146,935.2158203,855.9959717,855.3060303,857.6087036,856.8082275,857.2449341,858.9345093,856.7178955,937.7530518,936.9507446,934.4359131,935.8485718,935.963562,937.0914307,935.5114746,872.9603882,868.0446167,867.9501953,868.0446167,869.4976196,870.8106689,866.0963745,949.9348145,953.987915,950.151062,950.0504761,952.6525879,953.2904663,954.5777588,849.0689087,851.8547363,850.93927,850.6825562,851.2590942,852.7682495,851.6381226,935.6748047,935.7394409,937.6577759,935.9017334,934.4146729,931.5942383,940.7042236,856.6105347,854.0360718,854.2011108,851.7088013,851.6522827,850.7768555,851.4158325,931.0500488,935.2819214,930.5665283,940.2443237,937.378418,937.109375,934.4943848,838.9238892,843.1083984,839.7718506,847.3584595,839.7009888,838.5765381,840.3450928,941.1622314,941.0072021,940.8607178,940.8443604,938.4672852,936.918335,936.602417,838.9238892,843.1083984,839.7718506,847.3584595,839.7009888,838.5765381,840.3450928,941.1622314,941.0072021,940.8607178,940.8443604,938.4672852,936.918335,936.602417
83,828.8873901,833.8746948,835.6016235,830.8206177,834.3661499,832.4785156,832.5609741,935.0014038,944.1864014,939.7188721,937.7536621,938.2470093,939.7188721,938.6657104,855.77771,858.3370361,854.4611206,857.7584839,856.7863159,858.6031494,855.6641846,950.0445557,953.6727905,951.1601563,953.0044556,948.7547607,952.7453613,955.045166,858.2366333,856.6679688,855.3434448,862.2778931,856.4379272,857.3745117,857.2025757,941.2594604,942.725708,940.6376953,940.6376953,945.562561,942.0927734,938.9251099,865.8964233,860.4453735,862.413147,860.9857178,862.6376953,864.9022827,867.1574097,934.9753418,939.0551147,934.399231,940.1947021,936.1564941,937.5738525,941.338623,860.0994263,858.8201904,854.9956665,860.5064697,858.725769,858.2478638,860.2052612,937.814209,936.0716553,940.4638062,936.0111694,939.9812622,937.4073486,942.3804321,868.9605103,870.0518188,869.4838257,876.1376953,870.4625244,870.0929565,868.6647339,951.0406494,954.1592407,957.0906982,951.8602295,958.6949463,951.9431763,953.2215576,853.3408813,854.5134888,850.3486328,855.1160278,855.2770386,850.8948975,854.0936279,936.1559448,932.5042725,936.444397,935.3965454,935.5193481,932.583374,935.7631226,850.7329102,852.6630859,850.8790283,854.9603882,850.3093872,849.3345337,852.170105,935.2965698,938.8099365,933.6913452,935.9663696,934.6053467,937.6486816,933.8135986,840.5484619,839.4544067,844.194519,838.9762573,840.4541016,842.446167,843.5168457,945.3448486,939.8155518,939.8703003,939.9393311,944.8306274,943.0909424,937.0302124,840.5484619,839.4544067,844.194519,838.9762573,840.4541016,842.446167,843.5168457,945.3448486,939.8155518,939.8703003,939.9393311,944.8306274,943.0909424,937.0302124
79,828.5714111,822.3198242,822.4302979,827.9276123,826.8435059,826.6298828,822.1687622,935.0518799,931.8929443,932.496582,934.0994873,931.9640503,930.1997681,934.4413452,856.7132568,849.2411499,855.4813843,848.0070801,847.1742554,846.0889282,848.40625,944.1573486,942.3620605,944.5882568,941.8711548,943.4840698,941.788208,943.4080811,850.9459229,850.1966553,852.5358276,853.8488159,852.8504028,849.3530884,853.0054321,937.711731,935.0797729,939.2992554,939.2992554,931.4790039,935.3590698,939.0591431,857.4682007,854.7926025,857.1340942,856.0874634,863.670166,855.9561157,855.4616089,935.6151123,938.2003784,932.2975464,930.0175781,932.4969482,933.2058105,934.4389038,849.8608398,852.3214111,850.7880249,854.4123535,854.703064,852.3944092,853.4967041,928.7688599,930.1287842,931.6622925,930.9649048,930.1841431,931.6409302,930.5217285,863.2648315,861.8990479,861.0154419,867.5403442,862.1531982,862.3676758,866.6696777,946.0881348,949.5058594,951.2590942,947.3839722,948.3556519,950.0599976,949.7727661,845.1190186,843.5078735,846.850708,845.7106323,848.0739746,844.5178833,848.3608398,931.7932739,928.3242188,933.0281372,929.8884277,928.9902344,930.2755127,926.9229126,847.1627197,848.5622559,847.7659302,845.8102417,850.8794556,848.6500854,847.6411133,927.6161499,928.9450684,931.3496704,927.2888184,932.8181763,930.4746094,931.1452637,834.9941406,840.4224854,835.2108765,836.7394409,839.0703125,834.9931641,835.6977539,940.3820801,936.178894,935.4205933,936.5687256,934.3959351,934.3773193,935.5670166,834.9941406,840.4224854,835.2108765,836.7394409,839.0703125,834.9931641,835.6977539,940.3820801,936.178894,935.4205933,936.5687256,934.3959351,934.3773193,935.5670166
74,802.8587036,797.645874,799.9968262,803.9387817,800.8619995,803.8815918,802.5797729,905.4221191,909.4680786,904.0860596,907.6389771,904.8966064,906.5401611,906.1146851,825.2421265,820.1279907,824.1835327,826.9981689,824.7471924,822.449585,829.3656006,918.5405884,917.1179199,913.6950684,916.8397827,913.4605103,915.9480591,915.0283813,825.9589233,825.3534546,830.7513428,826.7303467,827.1627808,825.894043,829.0029297,906.5081787,904.3924561,904.1633301,904.1633301,907.4438477,904.9085693,902.0182495,836.6937866,836.5675049,832.3551025,832.8834839,830.7744141,832.5625,829.1109009,905.2636719,906.8493652,906.1063232,910.8238525,908.9842529,905.2144165,911.9958496,824.6966553,829.8687134,828.7062378,827.2059937,827.135376,830.0539551,827.9689331,904.1677856,902.3373413,902.9337769,906.8284302,906.2007446,903.1925049,902.869812,841.0891724,837.5527344,840.0159302,836.9028931,834.1466064,835.9674072,837.5924072,915.2558594,918.6682739,916.6298218,918.592041,923.0141602,923.7338257,917.3569336,822.1138916,823.8709106,823.6774902,819.1939087,821.1792603,825.5574341,823.1524658,900.1451416,905.6969604,906.1369629,902.1583862,905.9404297,896.4450073,897.8649292,821.4204102,823.3601074,822.9573364,820.7155151,827.8192139,821.4876099,825.0406494,900.7852173,900.7373657,902.6087646,901.9961548,902.2173462,895.3647461,905.5299683,811.6751099,809.2319336,810.0857544,813.0736694,811.5783691,810.3964844,814.5419922,910.887207,905.5270996,905.8399048,908.8184814,906.491333,907.5195923,902.5464478,811.6751099,809.2319336,810.0857544,813.0736694,811.5783691,810.3964844,814.5419922,910.887207,905.5270996,905.8399048,908.8184814,906.491333,907.5195923,902.5464478
84,829.8450317,829.7723389,832.6295166,831.2189331,831.8280029,834.4588623,837.5100098,939.1848145,938.3927612,944.4885254,940.1782837,944.8839722,942.4849854,935.7264404,858.3328247,855.0580444,855.3040771,852.7966919,857.0015869,862.4215088,857.7537231,947.7929077,950.4554443,951.338501,950.6795044,948.7747803,950.3920288,950.6340332,861.132019,857.9940186,860.090332,857.7537842,856.3659058,854.5841675,861.6710815,946.7564697,942.6413574,939.7254639,939.7254639,941.081543,939.7245483,940.0350342,862.3272705,868.37146,864.7796631,860.2711792,864.6264038,859.3850708,861.1414185,941.1332397,939.6999512,943.8209229,938.4909668,938.0424194,942.4528198,936.3377686,859.4604492,860.2911987,857.5979004,857.7268677,857.1340332,863.4408569,860.6574097,940.1784058,940.6617432,936.6590576,938.8636475,937.2719727,940.8264771,935.2843018,872.0246582,872.6502686,867.9022217,873.3465576,868.328125,866.2821045,869.1401367,951.1934204,957.065918,958.2088013,960.2815552,959.0647583,954.9465332,954.4813232,853.2121582,851.2276001,852.4238892,854.182251,855.8421021,851.4226685,854.1901855,936.2648315,932.8168945,935.6921387,935.690918,932.6740723,933.8339844,935.7384033,850.8259277,855.4564819,856.539856,851.8341675,852.6344604,849.8817749,854.6566772,936.3548584,932.8927612,933.8747559,934.019043,937.9117432,937.5804443,935.1466064,839.0923462,845.1732788,841.5378418,841.5765991,841.9376831,846.8601685,844.0750732,942.3046875,942.177124,942.0018921,938.2184448,939.7489624,945.4866943,946.9874878,839.0923462,845.1732788,841.5378418,841.5765991,841.9376831,846.8601685,844.0750732,942.3046875,942.177124,942.0018921,938.2184448,939.7489624,945.4866943,946.9874878
89,818.6890259,821.9691772,820.0495605,820.9199219,824.5175171,823.3812256,824.4921265,929.9368286,928.1732788,934.8571777,926.1442261,926.6330566,930.3276367,931.4297485,854.3765869,848.0948486,848.3470459,847.4348145,847.4165039,847.5148315,846.6738281,938.5610962,942.6981201,943.5880737,940.5452271,946.0655518,941.7324219,940.5579224,849.803833,847.7012939,852.6391602,851.5527954,849.1911011,851.9838867,853.7891846,934.994751,935.2814941,929.8764648,929.8764648,933.3104858,931.9829712,934.3530884,853.4313354,855.3292236,856.0648193,853.5341187,856.1159668,852.6943359,857.4724731,935.5244141,931.0189209,931.6505737,928.2071533,928.6834717,933.637146,933.6408691,851.6640015,849.560791,850.5900269,851.09021,853.5612793,847.0097656,853.3745117,931.6954956,924.8397217,924.2341309,929.0079956,927.3897705,930.18927,926.9083862,862.6384888,860.4291382,860.4829102,860.2880859,861.7167358,855.3692627,858.2959595,942.9064331,956.1735229,942.9972534,945.1738892,945.0414429,946.0491943,951.1886597,843.7490234,845.5567627,845.0335083,845.1951904,848.0200195,843.3223877,842.7645874,926.3839722,925.6429443,923.7240601,927.8087769,928.340271,924.9107666,923.5716553,845.1043091,844.6557007,843.9671021,846.9193115,841.6273804,842.0488281,842.9960327,923.2313843,930.1796265,920.711853,925.8228149,928.0317383,925.9180298,925.118042,839.9466553,829.4487305,829.5326538,836.3918457,831.7559814,836.4812012,836.0745239,929.1365356,931.3812256,930.7594604,936.0144653,933.5852661,930.8676758,932.1461792,839.9466553,829.4487305,829.5326538,836.3918457,831.7559814,836.4812012,836.0745239,929.1365356,931.3812256,930.7594604,936.0144653,933.5852661,930.8676758,932.1461792
87,828.7147217,820.2597046,828.6452026,831.6141357,827.1776733,831.4177246,828.340332,933.3190308,934.0390015,936.6641846,933.0203247,937.6101685,936.180542,937.8269043,850.098877,853.7803955,858.3877563,853.354126,855.9465332,850.7699585,850.9984131,941.1602783,945.7183838,946.5705566,946.060791,947.2351074,950.9781494,944.6188965,854.4735718,855.8088989,850.8614502,854.2016602,855.3812866,857.0200195,852.1546021,945.786377,935.4450073,936.117981,936.117981,938.9703369,940.9671631,940.6530762,861.5058594,856.6361084,858.1773682,857.6524048,862.0380249,857.8175659,865.2200317,936.3937378,932.4575195,939.7897949,935.4528198,933.5680542,934.4909668,930.9899292,856.6480103,860.7989502,856.7230225,856.8238525,857.5354614,852.2631226,854.0985107,932.3959961,938.7473755,936.8236694,935.9292603,935.9295044,930.5952759,933.1574707,870.8937378,872.6425781,870.2944336,862.8276978,869.4919434,864.8389893,872.0897217,950.0386353,951.5345459,951.2133789,951.3129883,951.3709717,952.3633423,950.8206787,850.9660034,849.1139526,848.107666,847.4399414,848.5631104,850.4680176,848.6984863,931.2860718,930.1242676,934.6774902,931.4816895,933.8085938,935.9658813,934.0409546,853.3444214,850.6290283,849.684021,847.5137329,850.3085938,848.7365112,847.9904785,935.204895,932.1972656,932.1500244,926.0140381,936.5418091,929.1021729,928.4318848,837.5015259,836.2896729,842.8031006,841.5033569,839.2431641,835.0931396,841.8983154,937.3560181,937.5371704,934.3467407,938.0963135,935.1555176,936.9968262,937.6066895,837.5015259,836.2896729,842.8031006,841.5033569,839.2431641,835.0931396,841.8983154,937.3560181,937.5371704,934.3467407,938.0963135,935.1555176,936.9968262,937.6066895
75,808.1102905,809.0502319,806.7360229,810.0632324,811.7022705,809.5639648,811.7446289,912.8234863,912.6121826,915.4516602,915.47229,915.338623,915.6976318,915.8546753,835.708252,835.5465698,836.4113159,829.5550537,838.0373535,832.2155151,830.5905151,928.4364624,922.682373,927.0072021,925.0523682,925.5683594,919.4358521,925.2625122,835.552002,836.3641968,834.4898071,832.4620361,836.1970825,835.8447266,836.6801147,913.4759521,915.2966919,913.2470093,913.2470093,911.2489624,914.6491699,913.0809937,838.786499,842.6193237,836.8552856,839.491333,838.5058594,836.8776855,840.4268799,913.2042236,913.3970947,916.0687866,922.3299561,913.5917358,918.6544189,916.7935791,835.1391602,834.4752808,839.9216309,835.9300537,838.4450073,832.2260132,836.7003174,913.4276123,915.5473633,914.6541138,910.649292,912.1498413,913.7775269,913.1357422,849.3334351,845.8106689,843.3671875,851.5703125,845.0819092,842.7429199,845.5605469,926.295105,927.399353,922.7086792,929.2017212,930.5377197,925.5197754,926.6277466,830.6557617,829.3771973,827.7646484,832.5519409,831.3566284,828.7954102,830.1983643,909.8034058,911.5452271,911.7334595,909.9052734,908.7322388,911.0442505,910.0581665,829.4967041,827.3884888,829.4737549,828.1639404,829.217041,828.0599365,827.994812,911.4799805,909.4597778,909.1564941,911.3513794,913.2780762,909.4487915,911.8266602,818.0101929,820.3071289,820.7221069,819.8920898,818.8466187,815.5390625,815.0180664,923.3800049,913.1500244,911.5995483,913.9819946,911.3278809,918.7474976,917.0217896,818.0101929,820.3071289,820.7221069,819.8920898,818.8466187,815.5390625,815.0180664,923.3800049,913.1500244,911.5995483,913.9819946,911.3278809,918.7474976,917.0217896
76,812.0967407,811.4456787,810.8295288,811.0510254,813.6442871,816.3599854,813.7493286,914.9705811,927.6439209,920.288147,915.4491577,917.6333618,918.776123,917.4747925,840.7719727,834.0996704,836.1453247,839.6784058,835.9929199,841.4761353,836.3683472,929.4057007,927.5615845,929.2396851,929.9267578,933.3239746,933.1721802,930.1884766,840.8187256,840.4483032,837.7490234,837.3282471,839.244873,839.1517944,837.7070923,920.6885986,919.2410278,918.7028198,918.7028198,918.7744751,916.1386719,919.1472778,845.4212036,847.0515137,844.1237183,843.890625,846.0679321,846.5922852,846.6281738,917.4021606,923.704895,917.7527466,918.8580322,916.9536133,915.9067993,910.923645,841.914856,844.6932983,839.8091431,840.1386719,844.222229,839.9874878,836.6998901,916.666687,920.8587036,917.5627441,921.0925903,917.3047485,921.3988037,923.4524536,850.3568726,848.5769653,850.7513428,855.713623,847.4468384,853.4130859,849.1231689,928.140564,935.272644,934.0302734,937.5664063,935.0557861,934.7533569,934.5710449,833.5484009,830.8029785,832.7871704,833.6936035,839.2979736,834.2905884,832.0648193,912.6677246,914.5275269,913.1533813,919.2463379,915.0946045,913.8193359,914.7747192,834.3623657,834.6876221,831.3841553,835.5408325,832.0151367,836.5645752,835.2785034,912.4383545,912.649353,914.7907715,912.7976074,915.7312012,911.9425659,915.0411377,827.2833862,825.6678467,821.7283936,822.5855713,821.6617432,823.6313477,829.4869385,925.9717407,923.1583252,923.8675537,917.638855,924.1637573,922.1087646,922.0215454,827.2833862,825.6678467,821.7283936,822.5855713,821.6617432,823.6313477,829.4869385,925.9717407,923.1583252,923.8675537,917.638855,924.1637573,922.1087646,922.0215454
